strain,character_state,character_state_annotation
STPY.0321.00159,1,1 copies
STPY.0321.00145,0,0 copies
STPY.0321.00068,1,1 copies
STPY.0321.00058,1,1 copies
STPY.0321.00096,0,0 copies
STPY.0321.00188,1,1 copies
STPY.0321.00089,0,0 copies
STPY.0321.00140,0,0 copies
STPY.0321.00136,0,0 copies
STPY.0321.00180,1,1 copies
STPY.0321.00056,1,1 copies
STPY.0321.00064,0,0 copies
STPY.0321.00062,1,1 copies
STPY.0321.00074,1,1 copies
STPY.0321.00009,1,1 copies
STPY.0321.00017,1,1 copies
STPY.0321.00166,1,1 copies
STPY.0321.00216,0,0 copies
STPY.0321.00025,1,1 copies
STPY.0321.00044,1,1 copies
STPY.0321.00069,1,1 copies
STPY.0321.00212,0,0 copies
STPY.0321.00125,1,1 copies
STPY.0321.00032,1,1 copies
STPY.0321.00077,1,1 copies
STPY.0321.00215,0,0 copies
STPY.0321.00189,0,0 copies
STPY.0321.00035,1,1 copies
STPY.0321.00203,1,1 copies
STPY.0321.00155,0,0 copies
STPY.0321.00143,0,0 copies
STPY.0321.00018,1,1 copies
STPY.0321.00127,1,1 copies
STPY.0321.00126,1,1 copies
STPY.0321.00184,1,1 copies
STPY.0321.00088,1,1 copies
STPY.0321.00073,1,1 copies
STPY.0321.00082,1,1 copies
STPY.0321.00095,0,0 copies
STPY.0321.00026,1,1 copies
STPY.0321.00173,0,0 copies
STPY.0321.00129,0,0 copies
STPY.0321.00202,1,1 copies
STPY.0321.00121,1,1 copies
STPY.0321.00122,1,1 copies
STPY.0321.00187,1,1 copies
STPY.0321.00113,1,1 copies
STPY.0321.00157,1,1 copies
STPY.0321.00024,1,1 copies
STPY.0321.00015,1,1 copies
STPY.0321.00039,1,1 copies
STPY.0321.00208,0,0 copies
STPY.0321.00109,1,1 copies
STPY.0321.00171,1,1 copies
STPY.0321.00067,0,0 copies
STPY.0321.00134,1,1 copies
