strain,character_state,character_state_annotation
STPY.0321.00216,5,5 copies
STPY.0321.00010,6,6 copies
STPY.0321.00167,6,6 copies
STPY.0321.00069,6,6 copies
STPY.0321.00032,6,6 copies
STPY.0321.00125,6,6 copies
STPY.0321.00077,6,6 copies
STPY.0321.00158,5,5 copies
STPY.0321.00196,6,6 copies
STPY.0321.00152,6,6 copies
STPY.0321.00035,6,6 copies
STPY.0321.00203,6,6 copies
STPY.0321.00018,6,6 copies
STPY.0321.00127,6,6 copies
STPY.0321.00081,6,6 copies
STPY.0321.00184,6,6 copies
STPY.0321.00106,6,6 copies
STPY.0321.00150,6,6 copies
STPY.0321.00088,6,6 copies
STPY.0321.00073,6,6 copies
STPY.0321.00139,6,6 copies
STPY.0321.00082,6,6 copies
STPY.0321.00173,5,5 copies
STPY.0321.00093,6,6 copies
STPY.0321.00045,6,6 copies
STPY.0321.00142,5,5 copies
STPY.0321.00121,6,6 copies
STPY.0321.00187,6,6 copies
STPY.0321.00128,6,6 copies
STPY.0321.00202,6,6 copies
STPY.0321.00015,6,6 copies
STPY.0321.00157,6,6 copies
STPY.0321.00024,6,6 copies
STPY.0321.00208,5,5 copies
STPY.0321.00048,5,5 copies
STPY.0321.00105,5,5 copies
STPY.0321.00109,6,6 copies
STPY.0321.00002,6,6 copies
STPY.0321.00171,6,6 copies
STPY.0321.00134,6,6 copies
STPY.0321.00197,6,6 copies
STPY.0321.00178,6,6 copies
STPY.0321.00213,5,5 copies
STPY.0321.00165,6,6 copies
STPY.0321.00181,6,6 copies
STPY.0321.00065,6,6 copies
STPY.0321.00054,6,6 copies
STPY.0321.00038,6,6 copies
STPY.0321.00206,6,6 copies
STPY.0321.00102,6,6 copies
STPY.0321.00101,6,6 copies
STPY.0321.00042,5,5 copies
STPY.0321.00084,6,6 copies
STPY.0321.00169,6,6 copies
STPY.0321.00022,6,6 copies
STPY.0321.00061,6,6 copies
STPY.0321.00050,6,6 copies
STPY.0321.00182,6,6 copies
STPY.0321.00141,6,6 copies
STPY.0321.00083,6,6 copies
STPY.0321.00098,5,5 copies
STPY.0321.00148,6,6 copies
STPY.0321.00053,6,6 copies
STPY.0321.00086,6,6 copies
STPY.0321.00163,6,6 copies
STPY.0321.00055,6,6 copies
STPY.0321.00201,6,6 copies
STPY.0321.00119,6,6 copies
STPY.0321.00043,6,6 copies
STPY.0321.00164,6,6 copies
STPY.0321.00100,6,6 copies
