assembly_accession,bioproject,biosample,wgs_master,excluded_from_refseq,refseq_category,relation_to_type_material,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name_x,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,local_filename,strain,orig_name,to_annotate,gsize,nb_conts,L90,file,asm_name_y,name_no_strain,label
GCF_001020185.2,PRJNA224116,SAMN03733610,,,na,,1314,1314,Streptococcus pyogenes,strain=M28PF1,,latest,Complete Genome,Major,Full,2016/07/05,ASM102018v2,INSERM,GCA_001020185.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/020/185/GCF_001020185.2_ASM102018v2,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_001020185.2/GCF_001020185.2_ASM102018v2_genomic.fna.gz,STPY.0321.00023,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001020185.2_ASM102018v2_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001020185.2_ASM102018v2_genomic.fna_prepare-split125N.fna,1896976,1,1,GCF_001020185.2_ASM102018v2_genomic.fna_prepare-split125N.fna,ASM102018v2,M28PF1,Streptococcus pyogenes M28PF1
GCF_001021955.1,PRJNA224116,SAMN02866032,,,na,,1314,1314,Streptococcus pyogenes,strain=5448,,latest,Complete Genome,Major,Full,2015/06/08,ASM102195v1,Helmholtz Centre for Infection Research,GCA_001021955.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/021/955/GCF_001021955.1_ASM102195v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_001021955.1/GCF_001021955.1_ASM102195v1_genomic.fna.gz,STPY.0321.00025,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001021955.1_ASM102195v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001021955.1_ASM102195v1_genomic.fna_prepare-split125N.fna,1829516,1,1,GCF_001021955.1_ASM102195v1_genomic.fna_prepare-split125N.fna,ASM102195v1,5448,Streptococcus pyogenes 5448
GCF_001023495.1,PRJNA224116,SAMN03418291,,,na,,1314,1314,Streptococcus pyogenes,strain=STAB10015,,latest,Complete Genome,Major,Full,2015/06/09,ASM102349v1,Universite de Rennes 1,GCA_001023495.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/023/495/GCF_001023495.1_ASM102349v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_001023495.1/GCF_001023495.1_ASM102349v1_genomic.fna.gz,STPY.0321.00027,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001023495.1_ASM102349v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001023495.1_ASM102349v1_genomic.fna_prepare-split125N.fna,1950454,1,1,GCF_001023495.1_ASM102349v1_genomic.fna_prepare-split125N.fna,ASM102349v1,STAB10015,Streptococcus pyogenes STAB10015
GCF_001039695.1,PRJNA224116,SAMEA3865279,,,na,,1314,1314,Streptococcus pyogenes,strain=H293,,latest,Complete Genome,Major,Full,2015/06/20,emm89-1,ICL-CFB,GCA_001039695.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/039/695/GCF_001039695.1_emm89-1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_001039695.1/GCF_001039695.1_emm89-1_genomic.fna.gz,STPY.0321.00014,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001039695.1_emm89-1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001039695.1_emm89-1_genomic.fna_prepare-split125N.fna,1726248,1,1,GCF_001039695.1_emm89-1_genomic.fna_prepare-split125N.fna,emm89-1,H293,Streptococcus pyogenes H293
GCF_001051095.1,PRJNA224116,SAMN03846812,,,na,,1314,1314,Streptococcus pyogenes,strain=HKU488,,latest,Complete Genome,Major,Full,2015/07/09,ASM105109v1,University of Queensland,GCA_001051095.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/051/095/GCF_001051095.1_ASM105109v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_001051095.1/GCF_001051095.1_ASM105109v1_genomic.fna.gz,STPY.0321.00029,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001051095.1_ASM105109v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001051095.1_ASM105109v1_genomic.fna_prepare-split125N.fna,1943415,1,1,GCF_001051095.1_ASM105109v1_genomic.fna_prepare-split125N.fna,ASM105109v1,HKU488,Streptococcus pyogenes HKU488
GCF_001267805.1,PRJNA224116,SAMN03274509,,,na,,1314,1314,Streptococcus pyogenes,strain=NGAS322,,latest,Complete Genome,Major,Full,2015/08/17,ASM126780v1,Public Health Ontario,GCA_001267805.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/267/805/GCF_001267805.1_ASM126780v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_001267805.1/GCF_001267805.1_ASM126780v1_genomic.fna.gz,STPY.0321.00036,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001267805.1_ASM126780v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001267805.1_ASM126780v1_genomic.fna_prepare-split125N.fna,1950469,1,1,GCF_001267805.1_ASM126780v1_genomic.fna_prepare-split125N.fna,ASM126780v1,NGAS322,Streptococcus pyogenes NGAS322
GCF_001267845.1,PRJNA224116,SAMN03274510,,,representative genome,,1314,1314,Streptococcus pyogenes,strain=NGAS638,,latest,Complete Genome,Major,Full,2015/08/17,ASM126784v1,Public Health Ontario,GCA_001267845.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/267/845/GCF_001267845.1_ASM126784v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_001267845.1/GCF_001267845.1_ASM126784v1_genomic.fna.gz,STPY.0321.00030,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001267845.1_ASM126784v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001267845.1_ASM126784v1_genomic.fna_prepare-split125N.fna,1791401,1,1,GCF_001267845.1_ASM126784v1_genomic.fna_prepare-split125N.fna,ASM126784v1,NGAS638,Streptococcus pyogenes NGAS638
GCF_001535565.1,PRJNA224116,SAMN04419117,,,na,,1314,1314,Streptococcus pyogenes,strain=MEW123,,latest,Complete Genome,Major,Full,2016/01/25,ASM153556v1,University of Michigan,GCA_001535565.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/535/565/GCF_001535565.1_ASM153556v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_001535565.1/GCF_001535565.1_ASM153556v1_genomic.fna.gz,STPY.0321.00032,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001535565.1_ASM153556v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001535565.1_ASM153556v1_genomic.fna_prepare-split125N.fna,1878699,1,1,GCF_001535565.1_ASM153556v1_genomic.fna_prepare-split125N.fna,ASM153556v1,MEW123,Streptococcus pyogenes MEW123
GCF_001547835.1,PRJNA224116,SAMD00000332,,,na,,1314,1314,Streptococcus pyogenes,strain=MTB314,,latest,Complete Genome,Major,Full,2015/02/24,ASM154783v1,Kitasato Institute of Life Sciences,GCA_001547835.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/547/835/GCF_001547835.1_ASM154783v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_001547835.1/GCF_001547835.1_ASM154783v1_genomic.fna.gz,STPY.0321.00034,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001547835.1_ASM154783v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001547835.1_ASM154783v1_genomic.fna_prepare-split125N.fna,1744827,1,1,GCF_001547835.1_ASM154783v1_genomic.fna_prepare-split125N.fna,ASM154783v1,MTB314,Streptococcus pyogenes MTB314
GCF_001559175.2,PRJNA224116,SAMN03996295,,,na,,1314,1314,Streptococcus pyogenes,strain=FDAARGOS_149,,latest,Complete Genome,Major,Full,2018/02/05,ASM155917v2,University of Maryland School of Medicine Institute for Genome Sciences (IGS) - sequencing center,GCA_001559175.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/559/175/GCF_001559175.2_ASM155917v2,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_001559175.2/GCF_001559175.2_ASM155917v2_genomic.fna.gz,STPY.0321.00038,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001559175.2_ASM155917v2_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001559175.2_ASM155917v2_genomic.fna_prepare-split125N.fna,1839644,1,1,GCF_001559175.2_ASM155917v2_genomic.fna_prepare-split125N.fna,ASM155917v2,FDAARGOS_149,Streptococcus pyogenes FDAARGOS_149
GCF_001620285.1,PRJNA224116,SAMN04334485,,,na,,1314,1314,Streptococcus pyogenes,strain=AP53,,latest,Complete Genome,Major,Full,2016/04/18,ASM162028v1,University of Notre Dame,GCA_001620285.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/620/285/GCF_001620285.1_ASM162028v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_001620285.1/GCF_001620285.1_ASM162028v1_genomic.fna.gz,STPY.0321.00040,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001620285.1_ASM162028v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001620285.1_ASM162028v1_genomic.fna_prepare-split125N.fna,1860554,1,1,GCF_001620285.1_ASM162028v1_genomic.fna_prepare-split125N.fna,ASM162028v1,AP53,Streptococcus pyogenes AP53
GCF_001635895.1,PRJNA224116,SAMN03792044,,,na,,1314,1314,Streptococcus pyogenes,strain=MGAS11027,,latest,Complete Genome,Major,Full,2016/05/02,ASM163589v1,The Methodist Hospital Research Institute,GCA_001635895.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/635/895/GCF_001635895.1_ASM163589v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_001635895.1/GCF_001635895.1_ASM163589v1_genomic.fna.gz,STPY.0321.00042,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001635895.1_ASM163589v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001635895.1_ASM163589v1_genomic.fna_prepare-split125N.fna,1786874,1,1,GCF_001635895.1_ASM163589v1_genomic.fna_prepare-split125N.fna,ASM163589v1,MGAS11027,Streptococcus pyogenes MGAS11027
GCF_001635935.1,PRJNA224116,SAMN03775331,,,na,,1314,1314,Streptococcus pyogenes,strain=MGAS23530,,latest,Complete Genome,Major,Full,2016/05/02,ASM163593v1,Houston Methodist Research Institute,GCA_001635935.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/635/935/GCF_001635935.1_ASM163593v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_001635935.1/GCF_001635935.1_ASM163593v1_genomic.fna.gz,STPY.0321.00044,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001635935.1_ASM163593v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001635935.1_ASM163593v1_genomic.fna_prepare-split125N.fna,1709394,1,1,GCF_001635935.1_ASM163593v1_genomic.fna_prepare-split125N.fna,ASM163593v1,MGAS23530,Streptococcus pyogenes MGAS23530
GCF_001635975.1,PRJNA224116,SAMN03161558,,,na,,1314,1314,Streptococcus pyogenes,strain=MGAS27061,,latest,Complete Genome,Major,Full,2016/05/02,ASM163597v1,Houston Methodist Research Institute,GCA_001635975.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/635/975/GCF_001635975.1_ASM163597v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_001635975.1/GCF_001635975.1_ASM163597v1_genomic.fna.gz,STPY.0321.00046,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001635975.1_ASM163597v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001635975.1_ASM163597v1_genomic.fna_prepare-split125N.fna,1741348,1,1,GCF_001635975.1_ASM163597v1_genomic.fna_prepare-split125N.fna,ASM163597v1,MGAS27061,Streptococcus pyogenes MGAS27061
GCF_001638845.2,PRJNA224116,SAMN04625972,,,na,,1314,1314,Streptococcus pyogenes,strain=NS53,,latest,Complete Genome,Minor,Full,2017/01/24,ASM163884v2,University of Notre Dame,GCA_001638845.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/638/845/GCF_001638845.2_ASM163884v2,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_001638845.2/GCF_001638845.2_ASM163884v2_genomic.fna.gz,STPY.0321.00048,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001638845.2_ASM163884v2_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001638845.2_ASM163884v2_genomic.fna_prepare-split125N.fna,1765123,1,1,GCF_001638845.2_ASM163884v2_genomic.fna_prepare-split125N.fna,ASM163884v2,NS53,Streptococcus pyogenes NS53
GCF_001640945.2,PRJNA224116,SAMN04456596,,,na,,1314,1314,Streptococcus pyogenes,strain=STAB13021,,latest,Chromosome,Minor,Full,2016/07/28,ASM164094v2,university of rennes1,GCA_001640945.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/640/945/GCF_001640945.2_ASM164094v2,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_001640945.2/GCF_001640945.2_ASM164094v2_genomic.fna.gz,STPY.0321.00050,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001640945.2_ASM164094v2_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001640945.2_ASM164094v2_genomic.fna_prepare-split125N.fna,1811936,1,1,GCF_001640945.2_ASM164094v2_genomic.fna_prepare-split125N.fna,ASM164094v2,STAB13021,Streptococcus pyogenes STAB13021
GCF_001678885.1,PRJNA224116,SAMN03418290,,,na,,1314,1314,Streptococcus pyogenes,strain=STAB09014,,latest,Complete Genome,Major,Full,2016/07/05,ASM167888v1,Universite de Rennes 1,GCA_001678885.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/678/885/GCF_001678885.1_ASM167888v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_001678885.1/GCF_001678885.1_ASM167888v1_genomic.fna.gz,STPY.0321.00053,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001678885.1_ASM167888v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001678885.1_ASM167888v1_genomic.fna_prepare-split125N.fna,1862487,1,1,GCF_001678885.1_ASM167888v1_genomic.fna_prepare-split125N.fna,ASM167888v1,STAB09014,Streptococcus pyogenes STAB09014
GCF_002163545.1,PRJNA224116,SAMN04500791,,,na,,1314,1314,Streptococcus pyogenes,strain=STAB14018,,latest,Complete Genome,Major,Full,2017/06/02,ASM216354v1,university of rennes1,GCA_002163545.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/163/545/GCF_002163545.1_ASM216354v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_002163545.1/GCF_002163545.1_ASM216354v1_genomic.fna.gz,STPY.0321.00055,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_002163545.1_ASM216354v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_002163545.1_ASM216354v1_genomic.fna_prepare-split125N.fna,1890465,1,1,GCF_002163545.1_ASM216354v1_genomic.fna_prepare-split125N.fna,ASM216354v1,STAB14018,Streptococcus pyogenes STAB14018
GCF_002236855.1,PRJNA224116,SAMN06435541,,,na,,1314,1314,Streptococcus pyogenes,strain=GURSA1,,latest,Complete Genome,Major,Full,2017/07/28,ASM223685v1,University of Copenhagen,GCA_002236855.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/236/855/GCF_002236855.1_ASM223685v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_002236855.1/GCF_002236855.1_ASM223685v1_genomic.fna.gz,STPY.0321.00057,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_002236855.1_ASM223685v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_002236855.1_ASM223685v1_genomic.fna_prepare-split125N.fna,1893171,1,1,GCF_002236855.1_ASM223685v1_genomic.fna_prepare-split125N.fna,ASM223685v1,GURSA1,Streptococcus pyogenes GURSA1
GCF_002236875.1,PRJNA224116,SAMN06434935,,,na,,1314,1314,Streptococcus pyogenes,strain=GUR,,latest,Complete Genome,Major,Full,2017/07/28,ASM223687v1,University of Copenhagen,GCA_002236875.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/236/875/GCF_002236875.1_ASM223687v1,./Streptococcus_pyogenes/1-prepare_module/refseq/bacteria/GCF_002236875.1/GCF_002236875.1_ASM223687v1_genomic.fna.gz,STPY.0321.00061,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_002236875.1_ASM223687v1_genomic.fna_prepare-split125N.fna,Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_002236875.1_ASM223687v1_genomic.fna_prepare-split125N.fna,1890204,1,1,GCF_002236875.1_ASM223687v1_genomic.fna_prepare-split125N.fna,ASM223687v1,GUR,Streptococcus pyogenes GUR
