strain,character_state,character_state_annotation
STPY.0321.00008,0,adjacency exists
STPY.0321.00105,0,adjacency exists
STPY.0321.00049,3,inversion with 125t-22t
STPY.0321.00159,3,inversion with 125t-22t
STPY.0321.00215,0,adjacency exists
STPY.0321.00077,3,inversion with 125t-22t
STPY.0321.00210,0,adjacency exists
STPY.0321.00154,3,inversion with 125t-22t
STPY.0321.00060,0,adjacency exists
STPY.0321.00204,0,adjacency exists
STPY.0321.00071,3,inversion with 125t-22t
STPY.0321.00091,0,adjacency exists
STPY.0321.00168,0,adjacency exists
STPY.0321.00078,3,inversion with 125t-22t
STPY.0321.00082,0,adjacency exists
STPY.0321.00090,3,inversion with 125t-22t
STPY.0321.00150,0,adjacency exists
STPY.0321.00012,0,adjacency exists
STPY.0321.00104,0,adjacency exists
STPY.0321.00093,0,adjacency exists
STPY.0321.00208,0,adjacency exists
STPY.0321.00059,0,adjacency exists
STPY.0321.00052,3,inversion with 125t-22t
STPY.0321.00098,4,inversion with 126t-22t
STPY.0321.00062,3,inversion with 125t-22t
STPY.0321.00161,0,adjacency exists
