block,species,chr,chr_beg,chr_end,orientation
198,STPY.0321.00116,1,1587885,1596818,-
198,STPY.0321.00036,1,1143346,1152279,-
198,STPY.0321.00009,1,1109306,1118242,-
198,STPY.0321.00045,1,1074016,1082952,-
197,STPY.0321.00218,1,747650,756893,+
197,STPY.0321.00115,1,863309,872428,+
197,STPY.0321.00205,1,1627280,1637300,+
197,STPY.0321.00116,1,1598545,1607814,-
197,STPY.0321.00036,1,1154006,1163249,-
197,STPY.0321.00009,1,1119965,1129220,-
197,STPY.0321.00045,1,1084544,1093786,-
196,STPY.0321.00218,1,742099,745598,+
196,STPY.0321.00115,1,852999,856499,+
196,STPY.0321.00205,1,1621728,1625228,+
196,STPY.0321.00116,1,1626994,1630494,-
196,STPY.0321.00036,1,1170426,1173925,-
196,STPY.0321.00009,1,1132335,1135828,-
196,STPY.0321.00045,1,1113745,1117208,-
195,STPY.0321.00197,1,1707479,1711372,+
195,STPY.0321.00169,1,1675103,1678996,+
195,STPY.0321.00173,1,1628266,1632092,+
194,STPY.0321.00091,1,194621,203514,+
194,STPY.0321.00163,1,1775191,1784084,+
194,STPY.0321.00049,1,1784901,1793605,+
194,STPY.0321.00043,1,1729250,1737954,+
194,STPY.0321.00152,1,1726397,1735290,+
193,STPY.0321.00093,1,1096055,1108733,+
193,STPY.0321.00132,1,784226,796907,-
192,STPY.0321.00093,1,1088591,1092721,+
192,STPY.0321.00132,1,799368,803486,-
191,STPY.0321.00093,1,1080260,1088590,+
191,STPY.0321.00132,1,804963,813292,-
190,STPY.0321.00093,1,1071889,1075988,+
190,STPY.0321.00132,1,818449,822547,-
189,STPY.0321.00093,1,1061748,1071244,+
189,STPY.0321.00132,1,823186,832689,-
188,STPY.0321.00085,1,1752979,1756822,+
188,STPY.0321.00179,1,1721129,1724972,+
187,STPY.0321.00085,1,1620406,1624451,+
187,STPY.0321.00166,1,1713850,1717896,+
187,STPY.0321.00015,1,1614341,1618388,+
186,STPY.0321.00085,1,560154,565322,+
186,STPY.0321.00208,1,1165434,1170606,-
186,STPY.0321.00142,1,633061,638232,+
186,STPY.0321.00209,1,1207093,1212265,-
186,STPY.0321.00036,1,1362173,1367345,-
186,STPY.0321.00177,1,562295,567466,+
185,STPY.0321.00086,1,269575,274777,+
185,STPY.0321.00218,1,772010,777212,+
184,STPY.0321.00089,1,1760282,1764900,+
184,STPY.0321.00179,1,1733950,1738600,+
183,STPY.0321.00109,1,133654,136854,+
183,STPY.0321.00200,1,162407,165608,+
183,STPY.0321.00132,1,136324,139536,+
183,STPY.0321.00156,1,122533,125736,+
183,STPY.0321.00192,1,1404444,1407644,-
183,STPY.0321.00191,1,122985,126206,+
183,STPY.0321.00211,1,122633,125834,+
183,STPY.0321.00212,1,122630,125831,+
183,STPY.0321.00175,1,120065,123266,+
183,STPY.0321.00178,1,121660,124881,+
183,STPY.0321.00158,1,1466405,1469625,-
183,STPY.0321.00008,1,122633,125834,+
183,STPY.0321.00006,1,1370192,1373412,-
182,STPY.0321.00103,1,1576049,1584980,+
182,STPY.0321.00088,1,1635091,1642936,+
182,STPY.0321.00163,1,1632916,1640761,+
181,STPY.0321.00103,1,1069361,1073217,+
181,STPY.0321.00083,1,1124360,1128169,+
181,STPY.0321.00179,1,748133,751997,-
180,STPY.0321.00103,1,1060442,1067780,+
180,STPY.0321.00083,1,1116737,1124102,+
180,STPY.0321.00179,1,752248,759737,-
179,STPY.0321.00102,1,120242,130218,+
179,STPY.0321.00099,1,135206,145213,+
179,STPY.0321.00205,1,123837,133842,+
179,STPY.0321.00126,1,117638,127644,+
179,STPY.0321.00187,1,123639,133645,+
179,STPY.0321.00162,1,127216,137222,+
179,STPY.0321.00125,1,123621,133627,+
179,STPY.0321.00123,1,123639,133645,+
179,STPY.0321.00118,1,123637,133643,+
179,STPY.0321.00124,1,123710,133716,+
179,STPY.0321.00159,1,123748,133754,+
179,STPY.0321.00011,1,123870,133876,+
179,STPY.0321.00020,1,123870,133876,+
179,STPY.0321.00018,1,123870,133876,+
178,STPY.0321.00101,1,117252,122553,+
178,STPY.0321.00103,1,117368,122670,+
178,STPY.0321.00213,1,111482,116783,+
178,STPY.0321.00110,1,1177453,1182754,+
178,STPY.0321.00201,1,117483,122784,+
178,STPY.0321.00131,1,111248,116549,+
178,STPY.0321.00147,1,131798,137100,+
178,STPY.0321.00195,1,116897,122198,+
178,STPY.0321.00038,1,644056,649356,-
178,STPY.0321.00117,1,117483,122784,+
178,STPY.0321.00214,1,117453,122754,+
178,STPY.0321.00188,1,117252,122553,+
178,STPY.0321.00186,1,111251,116552,+
178,STPY.0321.00111,1,117453,122754,+
178,STPY.0321.00185,1,117453,122754,+
178,STPY.0321.00184,1,117284,122585,+
178,STPY.0321.00034,1,117454,122755,+
178,STPY.0321.00029,1,117452,122753,+
178,STPY.0321.00004,1,111516,116817,+
178,STPY.0321.00025,1,111482,116783,+
178,STPY.0321.00026,1,117285,122586,+
177,STPY.0321.00077,1,790214,795180,+
177,STPY.0321.00032,1,786588,791538,+
177,STPY.0321.00049,1,789050,794016,+
177,STPY.0321.00141,1,1084376,1089342,-
177,STPY.0321.00170,1,1115030,1119996,-
177,STPY.0321.00189,1,1068683,1073649,-
177,STPY.0321.00027,1,1094523,1099489,-
177,STPY.0321.00031,1,1114194,1119160,-
176,STPY.0321.00077,1,754027,760836,+
176,STPY.0321.00049,1,752863,759672,+
176,STPY.0321.00027,1,1128867,1135675,-
176,STPY.0321.00045,1,1100060,1106892,-
175,STPY.0321.00077,1,747501,750728,+
175,STPY.0321.00049,1,746337,749564,+
175,STPY.0321.00027,1,1138974,1142202,-
175,STPY.0321.00045,1,1110191,1113419,-
174,STPY.0321.00064,1,1066968,1070145,+
174,STPY.0321.00089,1,1011169,1014348,+
174,STPY.0321.00098,1,768432,771610,-
174,STPY.0321.00176,1,1216540,1219717,+
174,STPY.0321.00180,1,775624,778802,-
173,STPY.0321.00066,1,1142173,1147685,+
173,STPY.0321.00032,1,763127,768625,-
173,STPY.0321.00028,1,1120796,1126308,+
173,STPY.0321.00210,1,826289,831800,-
173,STPY.0321.00188,1,1139245,1144757,+
173,STPY.0321.00180,1,731960,737471,-
173,STPY.0321.00029,1,1139456,1144968,+
173,STPY.0321.00012,1,1100574,1106086,+
172,STPY.0321.00066,1,1122442,1125897,+
172,STPY.0321.00064,1,1085938,1089393,+
172,STPY.0321.00087,1,531450,535383,+
172,STPY.0321.00089,1,1028580,1032035,+
172,STPY.0321.00086,1,1508083,1511538,+
172,STPY.0321.00127,1,212649,216105,-
172,STPY.0321.00098,1,749032,752488,-
172,STPY.0321.00120,1,211912,215368,-
172,STPY.0321.00084,1,1653393,1656847,+
172,STPY.0321.00104,1,211750,215206,-
172,STPY.0321.00176,1,1233949,1237404,+
172,STPY.0321.00146,1,1833865,1837320,+
172,STPY.0321.00028,1,1101065,1104520,+
172,STPY.0321.00210,1,848076,851532,-
172,STPY.0321.00175,1,1540138,1543594,-
172,STPY.0321.00010,1,1692441,1695896,+
172,STPY.0321.00188,1,1119514,1122969,+
172,STPY.0321.00180,1,756224,759680,-
172,STPY.0321.00036,1,1110594,1114050,-
172,STPY.0321.00035,1,445065,448521,-
172,STPY.0321.00029,1,1119725,1123180,+
172,STPY.0321.00009,1,1015028,1018483,+
172,STPY.0321.00012,1,1080843,1084298,+
172,STPY.0321.00015,1,859787,863243,-
171,STPY.0321.00067,1,743723,750780,+
171,STPY.0321.00089,1,712223,719289,+
171,STPY.0321.00200,1,738637,745694,+
171,STPY.0321.00048,1,746446,753503,+
171,STPY.0321.00148,1,749950,757007,+
171,STPY.0321.00192,1,186089,193146,+
171,STPY.0321.00191,1,1114638,1121696,-
171,STPY.0321.00211,1,699990,707047,+
171,STPY.0321.00212,1,699980,707037,+
171,STPY.0321.00178,1,714417,721476,+
171,STPY.0321.00008,1,699990,707047,+
171,STPY.0321.00081,1,810052,817109,+
170,STPY.0321.00082,1,1080197,1083369,+
170,STPY.0321.00094,1,1052821,1055993,+
170,STPY.0321.00146,1,712042,715212,-
169,STPY.0321.00082,1,1071093,1077915,+
169,STPY.0321.00094,1,1043717,1050539,+
169,STPY.0321.00146,1,717479,724316,-
168,STPY.0321.00082,1,1064670,1067772,+
168,STPY.0321.00094,1,1037294,1040396,+
168,STPY.0321.00146,1,727638,730728,-
167,STPY.0321.00061,1,1047805,1063579,+
167,STPY.0321.00057,1,1047805,1063579,+
167,STPY.0321.00108,1,1124616,1140350,+
167,STPY.0321.00093,1,756960,772690,-
167,STPY.0321.00217,1,1701441,1717174,-
167,STPY.0321.00216,1,1117656,1133390,+
167,STPY.0321.00197,1,307615,323349,-
167,STPY.0321.00199,1,762435,778168,-
167,STPY.0321.00110,1,1890746,1906519,-
167,STPY.0321.00198,1,1118587,1134321,+
167,STPY.0321.00133,1,1056816,1072550,+
167,STPY.0321.00115,1,1199634,1215368,+
167,STPY.0321.00090,1,994976,1010710,+
167,STPY.0321.00137,1,1056554,1072288,+
167,STPY.0321.00007,1,1124321,1140045,+
167,STPY.0321.00003,1,1118109,1133843,+
167,STPY.0321.00145,1,1285159,1300893,+
167,STPY.0321.00166,1,1040594,1056325,+
167,STPY.0321.00144,1,1138817,1154551,+
167,STPY.0321.00041,1,1111043,1126774,+
167,STPY.0321.00191,1,1028070,1043804,+
167,STPY.0321.00002,1,442548,458282,+
167,STPY.0321.00040,1,620000,635734,+
167,STPY.0321.00106,1,202348,218081,-
167,STPY.0321.00150,1,1056815,1072549,+
167,STPY.0321.00004,1,1069471,1085245,+
167,STPY.0321.00026,1,830578,846351,-
78,STPY.0321.00072,1,1038443,1042635,+
78,STPY.0321.00071,1,1039549,1043741,+
78,STPY.0321.00070,1,1030287,1034479,+
78,STPY.0321.00079,1,872244,876437,-
78,STPY.0321.00080,1,846795,850988,-
78,STPY.0321.00062,1,1039290,1043482,+
78,STPY.0321.00061,1,1020417,1024610,+
78,STPY.0321.00082,1,817749,821941,-
78,STPY.0321.00057,1,1020417,1024610,+
78,STPY.0321.00067,1,818655,822846,-
78,STPY.0321.00065,1,1039606,1043798,+
78,STPY.0321.00066,1,871441,875634,-
78,STPY.0321.00064,1,798024,802217,-
78,STPY.0321.00077,1,1095387,1099579,+
78,STPY.0321.00101,1,816604,820793,-
78,STPY.0321.00102,1,857858,862048,-
78,STPY.0321.00108,1,937786,941978,-
78,STPY.0321.00103,1,816215,820409,-
78,STPY.0321.00109,1,943644,947836,+
78,STPY.0321.00105,1,788933,793035,-
78,STPY.0321.00087,1,969260,973452,+
78,STPY.0321.00097,1,828464,832657,-
78,STPY.0321.00089,1,788375,792568,-
78,STPY.0321.00075,1,1039341,1043533,+
78,STPY.0321.00083,1,872258,876341,-
78,STPY.0321.00086,1,936728,940921,+
78,STPY.0321.00085,1,951138,955332,+
78,STPY.0321.00094,1,790481,794674,-
78,STPY.0321.00096,1,826120,830313,-
78,STPY.0321.00093,1,830700,834894,-
78,STPY.0321.00091,1,904794,908989,-
78,STPY.0321.00217,1,57,4249,+
78,STPY.0321.00219,1,1769494,1773687,+
78,STPY.0321.00213,1,812264,816453,-
78,STPY.0321.00216,1,930815,935007,-
78,STPY.0321.00197,1,863113,867306,-
78,STPY.0321.00203,1,872093,876286,-
78,STPY.0321.00218,1,1033123,1037317,+
78,STPY.0321.00204,1,863006,867198,-
78,STPY.0321.00199,1,801238,805430,-
78,STPY.0321.00110,1,15951,20140,-
78,STPY.0321.00200,1,811279,815471,-
78,STPY.0321.00099,1,1073957,1078151,+
78,STPY.0321.00051,1,1124481,1128673,+
78,STPY.0321.00198,1,931758,935950,-
78,STPY.0321.00128,1,1034740,1038934,+
78,STPY.0321.00033,1,788903,793095,-
78,STPY.0321.00130,1,1034676,1038870,+
78,STPY.0321.00129,1,850092,854286,-
78,STPY.0321.00127,1,1047351,1052767,+
78,STPY.0321.00208,1,796659,800853,-
78,STPY.0321.00068,1,1038642,1042834,+
78,STPY.0321.00050,1,898805,902999,-
78,STPY.0321.00201,1,793522,797711,-
78,STPY.0321.00056,1,1040729,1044921,+
78,STPY.0321.00133,1,824822,829016,-
78,STPY.0321.00134,1,970629,974821,+
78,STPY.0321.00078,1,1039381,1043573,+
78,STPY.0321.00132,1,1117994,1122176,+
78,STPY.0321.00115,1,1171832,1176026,+
78,STPY.0321.00001,1,803738,807932,-
78,STPY.0321.00053,1,790374,794566,-
78,STPY.0321.00090,1,965871,970066,+
78,STPY.0321.00202,1,790681,794873,-
78,STPY.0321.00048,1,822790,826984,-
78,STPY.0321.00113,1,803391,807585,-
78,STPY.0321.00114,1,803500,807694,-
78,STPY.0321.00121,1,808893,813087,-
78,STPY.0321.00137,1,824560,828754,-
78,STPY.0321.00161,1,811852,816045,-
78,STPY.0321.00007,1,937493,941685,-
78,STPY.0321.00205,1,894008,898201,-
78,STPY.0321.00131,1,810708,814897,-
78,STPY.0321.00147,1,991720,995914,+
78,STPY.0321.00126,1,839619,843812,-
78,STPY.0321.00098,1,998618,1002812,+
78,STPY.0321.00116,1,1342847,1347041,-
78,STPY.0321.00156,1,881028,885210,-
78,STPY.0321.00187,1,845971,850164,-
78,STPY.0321.00120,1,1026850,1031043,+
78,STPY.0321.00100,1,989822,994017,+
78,STPY.0321.00032,1,1080597,1084789,+
78,STPY.0321.00195,1,875095,879276,-
78,STPY.0321.00084,1,956755,960949,+
78,STPY.0321.00215,1,786897,791093,-
78,STPY.0321.00148,1,825790,829984,-
78,STPY.0321.00104,1,825310,829503,-
78,STPY.0321.00171,1,785309,789503,-
78,STPY.0321.00003,1,931282,935474,-
78,STPY.0321.00162,1,863957,868151,-
78,STPY.0321.00160,1,782983,787177,-
78,STPY.0321.00142,1,1047451,1051642,+
78,STPY.0321.00063,1,849392,853584,-
78,STPY.0321.00107,1,1021428,1025622,+
78,STPY.0321.00140,1,778760,782954,-
78,STPY.0321.00073,1,1041020,1045212,+
78,STPY.0321.00125,1,915896,920089,-
78,STPY.0321.00123,1,846052,850245,-
78,STPY.0321.00136,1,942729,946923,+
78,STPY.0321.00194,1,836996,841189,-
78,STPY.0321.00145,1,792591,796784,-
78,STPY.0321.00059,1,805118,809310,-
78,STPY.0321.00135,1,1019945,1024134,+
78,STPY.0321.00151,1,940602,944796,+
78,STPY.0321.00005,1,790146,794338,-
78,STPY.0321.00206,1,788301,792496,-
78,STPY.0321.00139,1,591265,595458,-
78,STPY.0321.00143,1,804921,809114,+
78,STPY.0321.00176,1,1076563,1080756,+
78,STPY.0321.00088,1,987013,991206,+
78,STPY.0321.00163,1,993329,997522,+
78,STPY.0321.00174,1,829807,834000,-
78,STPY.0321.00037,1,810996,815188,-
78,STPY.0321.00153,1,679601,683795,+
78,STPY.0321.00044,1,769574,773768,-
78,STPY.0321.00164,1,814878,819070,-
78,STPY.0321.00060,1,810050,814243,-
78,STPY.0321.00166,1,1013518,1017712,+
78,STPY.0321.00192,1,258857,263049,-
78,STPY.0321.00193,1,1017733,1021927,+
78,STPY.0321.00154,1,976981,981175,+
78,STPY.0321.00055,1,849245,853437,-
78,STPY.0321.00155,1,965112,969306,+
78,STPY.0321.00074,1,1041165,1045357,+
78,STPY.0321.00167,1,973353,977547,+
78,STPY.0321.00112,1,808209,812403,-
78,STPY.0321.00169,1,828887,833080,-
78,STPY.0321.00144,1,792922,797116,-
78,STPY.0321.00157,1,1108718,1112911,+
78,STPY.0321.00168,1,865423,869616,-
78,STPY.0321.00041,1,1082087,1086279,+
78,STPY.0321.00146,1,949582,953776,+
78,STPY.0321.00119,1,1039723,1043915,+
78,STPY.0321.00118,1,981609,985802,+
78,STPY.0321.00049,1,1094229,1098421,+
78,STPY.0321.00046,1,803101,807295,-
78,STPY.0321.00043,1,1040208,1044400,+
78,STPY.0321.00152,1,842813,847006,-
78,STPY.0321.00141,1,811420,815612,-
78,STPY.0321.00038,1,1784036,1788225,+
78,STPY.0321.00117,1,816878,821067,-
78,STPY.0321.00122,1,950616,954810,+
78,STPY.0321.00042,1,858710,862904,-
78,STPY.0321.00028,1,837746,841939,-
78,STPY.0321.00019,1,940955,945149,+
78,STPY.0321.00092,1,787732,791925,-
78,STPY.0321.00124,1,981461,985654,+
78,STPY.0321.00207,1,839657,843852,-
78,STPY.0321.00209,1,794160,798354,-
78,STPY.0321.00214,1,792187,796376,-
78,STPY.0321.00191,1,1002593,1006786,+
78,STPY.0321.00211,1,772744,776936,-
78,STPY.0321.00138,1,930349,934542,+
78,STPY.0321.00002,1,1794791,1798984,-
78,STPY.0321.00212,1,772734,776926,-
78,STPY.0321.00210,1,1100392,1104585,+
78,STPY.0321.00173,1,762116,766310,-
78,STPY.0321.00175,1,793955,798148,-
78,STPY.0321.00172,1,945764,949957,+
78,STPY.0321.00170,1,841328,845520,-
78,STPY.0321.00069,1,831120,835312,-
78,STPY.0321.00179,1,986149,990343,+
78,STPY.0321.00182,1,854335,858529,-
78,STPY.0321.00189,1,837134,841326,-
78,STPY.0321.00010,1,763703,767897,-
78,STPY.0321.00024,1,1038826,1043018,+
78,STPY.0321.00058,1,1080845,1085037,+
78,STPY.0321.00021,1,933425,937618,+
78,STPY.0321.00159,1,981813,986006,+
78,STPY.0321.00178,1,791760,795953,-
78,STPY.0321.00188,1,816642,820831,-
78,STPY.0321.00040,1,825259,829454,-
78,STPY.0321.00106,1,841261,845455,-
78,STPY.0321.00017,1,947880,952074,+
78,STPY.0321.00186,1,810592,814781,-
78,STPY.0321.00111,1,792380,796569,-
78,STPY.0321.00030,1,782523,786717,-
78,STPY.0321.00185,1,833720,837909,-
78,STPY.0321.00190,1,1041070,1045262,+
78,STPY.0321.00180,1,1008011,1012205,+
78,STPY.0321.00181,1,773002,777196,-
78,STPY.0321.00023,1,1083719,1087911,+
78,STPY.0321.00184,1,1007778,1011967,+
78,STPY.0321.00183,1,849560,853752,-
78,STPY.0321.00165,1,799488,803681,-
78,STPY.0321.00047,1,1081258,1085450,+
78,STPY.0321.00095,1,790134,794328,-
78,STPY.0321.00039,1,1035062,1039254,+
78,STPY.0321.00036,1,811760,815953,-
78,STPY.0321.00076,1,1040247,1044439,+
78,STPY.0321.00035,1,1010091,1014285,+
78,STPY.0321.00027,1,790146,794338,-
78,STPY.0321.00031,1,841248,845440,-
78,STPY.0321.00034,1,786644,790833,-
78,STPY.0321.00158,1,806673,810867,+
78,STPY.0321.00052,1,1052153,1056345,+
78,STPY.0321.00029,1,816852,821041,-
78,STPY.0321.00054,1,1082304,1086496,+
78,STPY.0321.00150,1,824821,829015,-
78,STPY.0321.00177,1,976157,980351,+
78,STPY.0321.00011,1,919369,923562,-
78,STPY.0321.00009,1,826395,830588,-
78,STPY.0321.00020,1,919344,923537,-
78,STPY.0321.00008,1,772744,776936,-
78,STPY.0321.00013,1,1058647,1062839,+
78,STPY.0321.00014,1,783481,787675,-
78,STPY.0321.00018,1,919351,923544,-
78,STPY.0321.00012,1,829848,834041,-
78,STPY.0321.00081,1,885024,889215,-
78,STPY.0321.00045,1,790552,794744,-
78,STPY.0321.00004,1,1040989,1045178,+
78,STPY.0321.00006,1,790319,794513,+
78,STPY.0321.00196,1,981970,986164,+
78,STPY.0321.00015,1,841287,845481,-
78,STPY.0321.00025,1,1041097,1045286,+
78,STPY.0321.00022,1,1039729,1043921,+
78,STPY.0321.00149,1,794410,798604,-
78,STPY.0321.00026,1,870645,874834,-
78,STPY.0321.00016,1,899580,903773,-
77,STPY.0321.00072,1,1028731,1032849,+
77,STPY.0321.00071,1,1029837,1033955,+
77,STPY.0321.00070,1,1020575,1024693,+
77,STPY.0321.00079,1,882033,886151,-
77,STPY.0321.00080,1,856583,860690,-
77,STPY.0321.00062,1,1029578,1033696,+
77,STPY.0321.00082,1,827536,831654,-
77,STPY.0321.00065,1,1029894,1034012,+
77,STPY.0321.00066,1,881230,885348,-
77,STPY.0321.00077,1,1085675,1089793,+
77,STPY.0321.00101,1,826426,830533,-
77,STPY.0321.00102,1,867644,871763,-
77,STPY.0321.00103,1,826054,830166,-
77,STPY.0321.00109,1,933930,938048,+
77,STPY.0321.00105,1,798669,802777,-
77,STPY.0321.00087,1,959544,963662,+
77,STPY.0321.00097,1,838301,842419,-
77,STPY.0321.00075,1,1029629,1033747,+
77,STPY.0321.00083,1,883177,887293,-
77,STPY.0321.00086,1,927031,931149,+
77,STPY.0321.00085,1,941380,945492,+
77,STPY.0321.00094,1,800270,804388,-
77,STPY.0321.00091,1,914652,918770,-
77,STPY.0321.00219,1,1759781,1763899,+
77,STPY.0321.00213,1,822086,826193,-
77,STPY.0321.00203,1,881881,885999,-
77,STPY.0321.00218,1,1023381,1027489,+
77,STPY.0321.00204,1,872843,876955,-
77,STPY.0321.00110,1,25773,29880,-
77,STPY.0321.00099,1,1064265,1068381,+
77,STPY.0321.00051,1,1114769,1118887,+
77,STPY.0321.00033,1,798741,802853,-
77,STPY.0321.00127,1,1002009,1007321,+
77,STPY.0321.00068,1,1028930,1033048,+
77,STPY.0321.00050,1,909747,913865,-
77,STPY.0321.00201,1,803344,807451,-
77,STPY.0321.00056,1,1031017,1035135,+
77,STPY.0321.00134,1,960915,965033,+
77,STPY.0321.00078,1,1029669,1033787,+
77,STPY.0321.00132,1,1107162,1111264,+
77,STPY.0321.00115,1,1162092,1166199,+
77,STPY.0321.00001,1,813578,817690,-
77,STPY.0321.00053,1,800160,804278,-
77,STPY.0321.00202,1,800467,804585,-
77,STPY.0321.00048,1,832618,836726,-
77,STPY.0321.00113,1,813231,817343,-
77,STPY.0321.00114,1,813340,817452,-
77,STPY.0321.00121,1,818733,822845,-
77,STPY.0321.00161,1,821349,825456,-
77,STPY.0321.00205,1,903864,907982,-
77,STPY.0321.00131,1,820530,824637,-
77,STPY.0321.00147,1,982005,986124,+
77,STPY.0321.00126,1,849475,853593,-
77,STPY.0321.00116,1,1352674,1356781,-
77,STPY.0321.00156,1,891941,896043,-
77,STPY.0321.00187,1,855827,859945,-
77,STPY.0321.00120,1,1017071,1021184,+
77,STPY.0321.00100,1,980154,984261,+
77,STPY.0321.00032,1,1070886,1075004,+
77,STPY.0321.00195,1,884909,889016,-
77,STPY.0321.00148,1,835646,839764,-
77,STPY.0321.00104,1,834805,838912,-
77,STPY.0321.00171,1,795098,799214,-
77,STPY.0321.00162,1,874881,878984,-
77,STPY.0321.00160,1,792841,796954,-
77,STPY.0321.00142,1,1037710,1041828,+
77,STPY.0321.00063,1,859246,863364,-
77,STPY.0321.00073,1,1031308,1035426,+
77,STPY.0321.00125,1,925752,929870,-
77,STPY.0321.00123,1,855908,860026,-
77,STPY.0321.00194,1,846832,850950,-
77,STPY.0321.00059,1,814972,819090,-
77,STPY.0321.00135,1,1010204,1014311,+
77,STPY.0321.00151,1,930864,934982,+
77,STPY.0321.00005,1,799932,804050,-
77,STPY.0321.00088,1,977234,981352,+
77,STPY.0321.00163,1,983590,987708,+
77,STPY.0321.00174,1,839596,843714,-
77,STPY.0321.00037,1,820850,824968,-
77,STPY.0321.00044,1,779414,783526,-
77,STPY.0321.00164,1,824715,828827,-
77,STPY.0321.00166,1,1003761,1007873,+
77,STPY.0321.00154,1,967243,971361,+
77,STPY.0321.00055,1,859099,863217,-
77,STPY.0321.00074,1,1031453,1035571,+
77,STPY.0321.00112,1,818049,822161,-
77,STPY.0321.00144,1,803864,807982,-
77,STPY.0321.00157,1,1098937,1103055,+
77,STPY.0321.00168,1,875279,879397,-
77,STPY.0321.00041,1,1072375,1076493,+
77,STPY.0321.00119,1,1030011,1034129,+
77,STPY.0321.00118,1,971828,975946,+
77,STPY.0321.00049,1,1084517,1088635,+
77,STPY.0321.00046,1,812941,817053,-
77,STPY.0321.00043,1,1030496,1034614,+
77,STPY.0321.00038,1,1774296,1778403,+
77,STPY.0321.00117,1,826700,830807,-
77,STPY.0321.00122,1,940860,944973,+
77,STPY.0321.00042,1,868568,872681,-
77,STPY.0321.00028,1,847582,851700,-
77,STPY.0321.00019,1,931217,935335,+
77,STPY.0321.00124,1,971680,975798,+
77,STPY.0321.00214,1,802009,806116,-
77,STPY.0321.00138,1,920635,924753,+
77,STPY.0321.00210,1,1090678,1094796,+
77,STPY.0321.00172,1,936015,940118,+
77,STPY.0321.00069,1,840906,845024,-
77,STPY.0321.00179,1,976405,980513,+
77,STPY.0321.00182,1,864175,868287,-
77,STPY.0321.00024,1,1029114,1033232,+
77,STPY.0321.00058,1,1071133,1075251,+
77,STPY.0321.00159,1,972032,976150,+
77,STPY.0321.00188,1,826464,830571,-
77,STPY.0321.00017,1,938124,942237,+
77,STPY.0321.00186,1,820414,824521,-
77,STPY.0321.00111,1,802202,806309,-
77,STPY.0321.00185,1,843542,847649,-
77,STPY.0321.00190,1,1031358,1035476,+
77,STPY.0321.00180,1,998246,1002355,+
77,STPY.0321.00181,1,782858,786974,-
77,STPY.0321.00023,1,1074007,1078125,+
