Genome,Length
STPY.0321.00074,1839841
STPY.0321.00167,1811249
STPY.0321.00112,1746807
STPY.0321.00169,1863040
STPY.0321.00144,1875632
STPY.0321.00157,1915789
STPY.0321.00168,1847336
STPY.0321.00041,1937062
STPY.0321.00146,1851237
STPY.0321.00119,1853362
STPY.0321.00118,1890399
STPY.0321.00049,1940677
STPY.0321.00046,1741343
STPY.0321.00043,1885119
STPY.0321.00152,1857727
STPY.0321.00141,1848740
STPY.0321.00038,1839644
STPY.0321.00117,1835774
STPY.0321.00122,1918723
STPY.0321.00042,1786869
STPY.0321.00028,1882322
STPY.0321.00019,1791304
STPY.0321.00092,1701466
STPY.0321.00124,1932413
STPY.0321.00207,1815780
STPY.0321.00209,1781024
STPY.0321.00214,1837247
STPY.0321.00191,1900813
STPY.0321.00211,1811963
STPY.0321.00138,1797476
STPY.0321.00002,1844755
STPY.0321.00212,1811119
STPY.0321.00210,1908065
STPY.0321.00173,1822334
STPY.0321.00175,1808803
STPY.0321.00172,1846983
STPY.0321.00170,1934623
STPY.0321.00069,1893439
STPY.0321.00179,1785880
STPY.0321.00182,1834863
STPY.0321.00189,1909563
STPY.0321.00010,1709785
STPY.0321.00024,1851464
STPY.0321.00058,1893256
STPY.0321.00021,1702052
STPY.0321.00159,1891095
STPY.0321.00178,1790372
STPY.0321.00188,1943295
STPY.0321.00040,1860549
STPY.0321.00106,1839531
STPY.0321.00017,1915552
STPY.0321.00186,1829838
STPY.0321.00111,1777970
STPY.0321.00030,1791400
STPY.0321.00185,1877415
STPY.0321.00190,1854706
STPY.0321.00180,1819726
STPY.0321.00181,1756874
STPY.0321.00023,1896939
STPY.0321.00184,1796907
STPY.0321.00183,1891258
STPY.0321.00165,1764453
STPY.0321.00047,1894033
STPY.0321.00095,1742565
STPY.0321.00039,1833815
STPY.0321.00036,1950468
STPY.0321.00076,1880773
STPY.0321.00035,1812036
STPY.0321.00027,1950417
STPY.0321.00031,1976011
STPY.0321.00034,1744792
STPY.0321.00158,1766320
STPY.0321.00052,1905052
STPY.0321.00029,1943380
STPY.0321.00054,1894080
STPY.0321.00150,1921449
STPY.0321.00177,1789295
STPY.0321.00011,1903992
STPY.0321.00009,1869673
STPY.0321.00020,1903967
STPY.0321.00008,1811963
STPY.0321.00013,1866508
STPY.0321.00014,1726213
STPY.0321.00018,1903847
STPY.0321.00012,1944502
STPY.0321.00081,1861037
STPY.0321.00045,1962422
STPY.0321.00004,1908289
STPY.0321.00006,1846472
STPY.0321.00196,1841266
STPY.0321.00015,1796147
STPY.0321.00025,1829511
STPY.0321.00022,1853905
STPY.0321.00149,1786462
STPY.0321.00026,1914862
STPY.0321.00016,1837691
