Seq_id	Size	Description
217	1786462	STPY.0321.00149
218	1914862	STPY.0321.00026
219	1837691	STPY.0321.00016
--------------------------------------------------------------------------------
Block #217
Seq_id	Strand	Start	End	Length
160	+	1161781	1167495	5714
193	+	1177955	1183669	5714
--------------------------------------------------------------------------------
Block #216
Seq_id	Strand	Start	End	Length
139	+	1099630	1111026	11396
160	+	1130284	1141680	11396
164	+	1083937	1095333	11396
193	+	1129448	1140844	11396
--------------------------------------------------------------------------------
Block #215
Seq_id	Strand	Start	End	Length
139	+	196223	205316	9093
151	+	185013	194105	9092
160	+	196150	205243	9093
164	+	196142	205235	9093
170	+	183688	192780	9092
193	+	196078	205171	9093
--------------------------------------------------------------------------------
Block #214
Seq_id	Strand	Start	End	Length
135	+	1799404	1805946	6542
137	+	1743752	1750294	6542
--------------------------------------------------------------------------------
Block #213
Seq_id	Strand	Start	End	Length
111	+	1765235	1768772	3537
138	+	1716441	1719978	3537
--------------------------------------------------------------------------------
Block #212
Seq_id	Strand	Start	End	Length
110	+	430609	438020	7411
111	+	430677	438089	7412
--------------------------------------------------------------------------------
Block #211
Seq_id	Strand	Start	End	Length
78	+	1585589	1599368	13779
151	-	319341	305562	13779
157	+	1508008	1521787	13779
--------------------------------------------------------------------------------
Block #210
Seq_id	Strand	Start	End	Length
72	+	1648383	1652466	4083
189	-	1141236	1137152	4084
202	-	1107196	1103114	4082
210	-	1069565	1065481	4084
--------------------------------------------------------------------------------
Block #209
Seq_id	Strand	Start	End	Length
60	+	887541	899178	11637
77	-	1583431	1571795	11636
--------------------------------------------------------------------------------
Block #208
Seq_id	Strand	Start	End	Length
50	+	1661364	1665030	3666
159	+	1655352	1659024	3672
--------------------------------------------------------------------------------
Block #207
Seq_id	Strand	Start	End	Length
50	+	1034636	1041354	6718
217	-	810097	804600	5497
--------------------------------------------------------------------------------
Block #206
Seq_id	Strand	Start	End	Length
50	+	1007322	1026265	18943
217	-	837595	818468	19127
--------------------------------------------------------------------------------
Block #205
Seq_id	Strand	Start	End	Length
46	+	1820516	1823770	3254
48	+	1820534	1823788	3254
49	+	1820529	1823783	3254
120	-	102701	99446	3255
180	+	1749591	1752666	3075
213	+	1764874	1768128	3254
--------------------------------------------------------------------------------
Block #204
Seq_id	Strand	Start	End	Length
46	+	1345983	1352115	6132
48	+	1345889	1352021	6132
49	+	1345954	1352086	6132
--------------------------------------------------------------------------------
Block #203
Seq_id	Strand	Start	End	Length
46	+	1338952	1344183	5231
48	+	1338858	1344089	5231
49	+	1338923	1344154	5231
--------------------------------------------------------------------------------
Block #202
Seq_id	Strand	Start	End	Length
46	+	1299666	1308294	8628
48	+	1299572	1308200	8628
49	+	1299637	1308265	8628
--------------------------------------------------------------------------------
Block #201
Seq_id	Strand	Start	End	Length
42	+	1119570	1172014	52444
47	+	1099597	1152042	52445
176	+	1094861	1147307	52446
--------------------------------------------------------------------------------
Block #200
Seq_id	Strand	Start	End	Length
39	+	117278	125361	8083
116	+	117164	125247	8083
--------------------------------------------------------------------------------
Block #199
Seq_id	Strand	Start	End	Length
38	+	800431	804340	3909
60	+	900963	904885	3922
72	+	1660696	1664616	3920
77	-	1570010	1566088	3922
189	-	1108338	1104419	3919
202	-	1096879	1092960	3919
210	-	1052271	1048352	3919
--------------------------------------------------------------------------------
Block #198
Seq_id	Strand	Start	End	Length
38	+	758621	767551	8930
60	+	874155	883088	8933
72	+	1637338	1646274	8936
77	-	1596818	1587885	8933
189	-	1152279	1143346	8933
202	-	1118242	1109306	8936
210	-	1082952	1074016	8936
--------------------------------------------------------------------------------
Block #197
Seq_id	Strand	Start	End	Length
38	+	747650	756893	9243
60	+	863309	872428	9119
72	+	1627280	1637300	10020
77	-	1607814	1598545	9269
189	-	1163249	1154006	9243
202	-	1129220	1119965	9255
210	-	1093786	1084544	9242
--------------------------------------------------------------------------------
Block #196
Seq_id	Strand	Start	End	Length
38	+	742099	745598	3499
60	+	852999	856499	3500
72	+	1621728	1625228	3500
77	-	1630494	1626994	3500
189	-	1173925	1170426	3499
202	-	1135828	1132335	3493
210	-	1117208	1113745	3463
--------------------------------------------------------------------------------
Block #195
Seq_id	Strand	Start	End	Length
36	+	1707479	1711372	3893
127	+	1675103	1678996	3893
157	+	1628266	1632092	3826
--------------------------------------------------------------------------------
Block #194
Seq_id	Strand	Start	End	Length
31	+	194621	203514	8893
111	+	1775191	1784084	8893
135	+	1784901	1793605	8704
137	+	1729250	1737954	8704
138	+	1726397	1735290	8893
--------------------------------------------------------------------------------
Block #193
Seq_id	Strand	Start	End	Length
30	+	1096055	1108733	12678
59	-	796907	784226	12681
--------------------------------------------------------------------------------
Block #192
Seq_id	Strand	Start	End	Length
30	+	1088591	1092721	4130
59	-	803486	799368	4118
--------------------------------------------------------------------------------
Block #191
Seq_id	Strand	Start	End	Length
30	+	1080260	1088590	8330
59	-	813292	804963	8329
--------------------------------------------------------------------------------
Block #190
Seq_id	Strand	Start	End	Length
30	+	1071889	1075988	4099
59	-	822547	818449	4098
--------------------------------------------------------------------------------
Block #189
Seq_id	Strand	Start	End	Length
30	+	1061748	1071244	9496
59	-	832689	823186	9503
--------------------------------------------------------------------------------
Block #188
Seq_id	Strand	Start	End	Length
27	+	1752979	1756822	3843
162	+	1721129	1724972	3843
--------------------------------------------------------------------------------
Block #187
Seq_id	Strand	Start	End	Length
27	+	1620406	1624451	4045
118	+	1713850	1717896	4046
214	+	1614341	1618388	4047
--------------------------------------------------------------------------------
Block #186
Seq_id	Strand	Start	End	Length
27	+	560154	565322	5168
51	-	1170606	1165434	5172
92	+	633061	638232	5171
149	-	1212265	1207093	5172
189	-	1367345	1362173	5172
200	+	562295	567466	5171
--------------------------------------------------------------------------------
Block #185
Seq_id	Strand	Start	End	Length
26	+	269575	274777	5202
38	+	772010	777212	5202
--------------------------------------------------------------------------------
Block #184
Seq_id	Strand	Start	End	Length
23	+	1760282	1764900	4618
162	+	1733950	1738600	4650
--------------------------------------------------------------------------------
Block #183
Seq_id	Strand	Start	End	Length
19	+	133654	136854	3200
42	+	162407	165608	3201
59	+	136324	139536	3212
78	+	122533	125736	3203
119	-	1407644	1404444	3200
151	+	122985	126206	3221
152	+	122633	125834	3201
155	+	122630	125831	3201
158	+	120065	123266	3201
170	+	121660	124881	3221
195	-	1469625	1466405	3220
204	+	122633	125834	3201
212	-	1373412	1370192	3220
--------------------------------------------------------------------------------
Block #182
Seq_id	Strand	Start	End	Length
18	+	1576049	1584980	8931
110	+	1635091	1642936	7845
111	+	1632916	1640761	7845
--------------------------------------------------------------------------------
Block #181
Seq_id	Strand	Start	End	Length
18	+	1069361	1073217	3856
25	+	1124360	1128169	3809
162	-	751997	748133	3864
--------------------------------------------------------------------------------
Block #180
Seq_id	Strand	Start	End	Length
18	+	1060442	1067780	7338
25	+	1116737	1124102	7365
162	-	759737	752248	7489
--------------------------------------------------------------------------------
Block #179
Seq_id	Strand	Start	End	Length
16	+	120242	130218	9976
43	+	135206	145213	10007
72	+	123837	133842	10005
75	+	117638	127644	10006
79	+	123639	133645	10006
90	+	127216	137222	10006
97	+	123621	133627	10006
98	+	123639	133645	10006
134	+	123637	133643	10006
147	+	123710	133716	10006
169	+	123748	133754	10006
201	+	123870	133876	10006
203	+	123870	133876	10006
207	+	123870	133876	10006
--------------------------------------------------------------------------------
Block #178
Seq_id	Strand	Start	End	Length
15	+	117252	122553	5301
18	+	117368	122670	5302
34	+	111482	116783	5301
41	+	1177453	1182754	5301
54	+	117483	122784	5301
73	+	111248	116549	5301
74	+	131798	137100	5302
83	+	116897	122198	5301
140	-	649356	644056	5300
141	+	117483	122784	5301
150	+	117453	122754	5301
171	+	117252	122553	5301
175	+	111251	116552	5301
176	+	117453	122754	5301
178	+	117453	122754	5301
183	+	117284	122585	5301
194	+	117454	122755	5301
197	+	117452	122753	5301
211	+	111516	116817	5301
215	+	111482	116783	5301
218	+	117285	122586	5301
--------------------------------------------------------------------------------
Block #177
Seq_id	Strand	Start	End	Length
14	+	790214	795180	4966
82	+	786588	791538	4950
135	+	789050	794016	4966
139	-	1089342	1084376	4966
160	-	1119996	1115030	4966
164	-	1073649	1068683	4966
192	-	1099489	1094523	4966
193	-	1119160	1114194	4966
--------------------------------------------------------------------------------
Block #176
Seq_id	Strand	Start	End	Length
14	+	754027	760836	6809
135	+	752863	759672	6809
192	-	1135675	1128867	6808
210	-	1106892	1100060	6832
--------------------------------------------------------------------------------
Block #175
Seq_id	Strand	Start	End	Length
14	+	747501	750728	3227
135	+	746337	749564	3227
192	-	1142202	1138974	3228
210	-	1113419	1110191	3228
--------------------------------------------------------------------------------
Block #174
Seq_id	Strand	Start	End	Length
13	+	1066968	1070145	3177
23	+	1011169	1014348	3179
76	-	771610	768432	3178
109	+	1216540	1219717	3177
180	-	778802	775624	3178
--------------------------------------------------------------------------------
Block #173
Seq_id	Strand	Start	End	Length
12	+	1142173	1147685	5512
82	-	768625	763127	5498
144	+	1120796	1126308	5512
156	-	831800	826289	5511
171	+	1139245	1144757	5512
180	-	737471	731960	5511
197	+	1139456	1144968	5512
208	+	1100574	1106086	5512
--------------------------------------------------------------------------------
Block #172
Seq_id	Strand	Start	End	Length
12	+	1122442	1125897	3455
13	+	1085938	1089393	3455
21	+	531450	535383	3933
23	+	1028580	1032035	3455
26	+	1508083	1511538	3455
50	-	216105	212649	3456
76	-	752488	749032	3456
80	-	215368	211912	3456
84	+	1653393	1656847	3454
87	-	215206	211750	3456
109	+	1233949	1237404	3455
132	+	1833865	1837320	3455
144	+	1101065	1104520	3455
156	-	851532	848076	3456
158	-	1543594	1540138	3456
165	+	1692441	1695896	3455
171	+	1119514	1122969	3455
180	-	759680	756224	3456
189	-	1114050	1110594	3456
191	-	448521	445065	3456
197	+	1119725	1123180	3455
202	+	1015028	1018483	3455
208	+	1080843	1084298	3455
214	-	863243	859787	3456
--------------------------------------------------------------------------------
Block #171
Seq_id	Strand	Start	End	Length
10	+	743723	750780	7057
23	+	712223	719289	7066
42	+	738637	745694	7057
65	+	746446	753503	7057
86	+	749950	757007	7057
119	+	186089	193146	7057
151	-	1121696	1114638	7058
152	+	699990	707047	7057
155	+	699980	707037	7057
170	+	714417	721476	7059
204	+	699990	707047	7057
209	+	810052	817109	7057
--------------------------------------------------------------------------------
Block #170
Seq_id	Strand	Start	End	Length
8	+	1080197	1083369	3172
28	+	1052821	1055993	3172
132	-	715212	712042	3170
--------------------------------------------------------------------------------
Block #169
Seq_id	Strand	Start	End	Length
8	+	1071093	1077915	6822
28	+	1043717	1050539	6822
132	-	724316	717479	6837
--------------------------------------------------------------------------------
Block #168
Seq_id	Strand	Start	End	Length
8	+	1064670	1067772	3102
28	+	1037294	1040396	3102
132	-	730728	727638	3090
--------------------------------------------------------------------------------
Block #167
Seq_id	Strand	Start	End	Length
7	+	1047805	1063579	15774
9	+	1047805	1063579	15774
17	+	1124616	1140350	15734
30	-	772690	756960	15730
32	-	1717174	1701441	15733
35	+	1117656	1133390	15734
36	-	323349	307615	15734
40	-	778168	762435	15733
41	-	1906519	1890746	15773
45	+	1118587	1134321	15734
56	+	1056816	1072550	15734
60	+	1199634	1215368	15734
63	+	994976	1010710	15734
69	+	1056554	1072288	15734
71	+	1124321	1140045	15724
89	+	1118109	1133843	15734
101	+	1285159	1300893	15734
118	+	1040594	1056325	15731
128	+	1138817	1154551	15734
131	+	1111043	1126774	15731
151	+	1028070	1043804	15734
154	+	442548	458282	15734
172	+	620000	635734	15734
173	-	218081	202348	15733
199	+	1056815	1072549	15734
211	+	1069471	1085245	15774
218	-	846351	830578	15773
--------------------------------------------------------------------------------
Block #78
Seq_id	Strand	Start	End	Length
1	+	1038443	1042635	4192
2	+	1039549	1043741	4192
3	+	1030287	1034479	4192
4	-	876437	872244	4193
5	-	850988	846795	4193
6	+	1039290	1043482	4192
7	+	1020417	1024610	4193
8	-	821941	817749	4192
9	+	1020417	1024610	4193
10	-	822846	818655	4191
11	+	1039606	1043798	4192
12	-	875634	871441	4193
13	-	802217	798024	4193
14	+	1095387	1099579	4192
15	-	820793	816604	4189
16	-	862048	857858	4190
17	-	941978	937786	4192
18	-	820409	816215	4194
19	+	943644	947836	4192
20	-	793035	788933	4102
21	+	969260	973452	4192
22	-	832657	828464	4193
23	-	792568	788375	4193
24	+	1039341	1043533	4192
25	-	876341	872258	4083
26	+	936728	940921	4193
27	+	951138	955332	4194
28	-	794674	790481	4193
29	-	830313	826120	4193
30	-	834894	830700	4194
31	-	908989	904794	4195
32	+	57	4249	4192
33	+	1769494	1773687	4193
34	-	816453	812264	4189
35	-	935007	930815	4192
36	-	867306	863113	4193
37	-	876286	872093	4193
38	+	1033123	1037317	4194
39	-	867198	863006	4192
40	-	805430	801238	4192
41	-	20140	15951	4189
42	-	815471	811279	4192
43	+	1073957	1078151	4194
44	+	1124481	1128673	4192
45	-	935950	931758	4192
46	+	1034740	1038934	4194
47	-	793095	788903	4192
48	+	1034676	1038870	4194
49	-	854286	850092	4194
50	+	1047351	1052767	5416
51	-	800853	796659	4194
52	+	1038642	1042834	4192
53	-	902999	898805	4194
54	-	797711	793522	4189
55	+	1040729	1044921	4192
56	-	829016	824822	4194
57	+	970629	974821	4192
58	+	1039381	1043573	4192
59	+	1117994	1122176	4182
60	+	1171832	1176026	4194
61	-	807932	803738	4194
62	-	794566	790374	4192
63	+	965871	970066	4195
64	-	794873	790681	4192
65	-	826984	822790	4194
66	-	807585	803391	4194
67	-	807694	803500	4194
68	-	813087	808893	4194
69	-	828754	824560	4194
70	-	816045	811852	4193
71	-	941685	937493	4192
72	-	898201	894008	4193
73	-	814897	810708	4189
74	+	991720	995914	4194
75	-	843812	839619	4193
76	+	998618	1002812	4194
77	-	1347041	1342847	4194
78	-	885210	881028	4182
79	-	850164	845971	4193
80	+	1026850	1031043	4193
81	+	989822	994017	4195
82	+	1080597	1084789	4192
83	-	879276	875095	4181
84	+	956755	960949	4194
85	-	791093	786897	4196
86	-	829984	825790	4194
87	-	829503	825310	4193
88	-	789503	785309	4194
89	-	935474	931282	4192
90	-	868151	863957	4194
91	-	787177	782983	4194
92	+	1047451	1051642	4191
93	-	853584	849392	4192
94	+	1021428	1025622	4194
95	-	782954	778760	4194
96	+	1041020	1045212	4192
97	-	920089	915896	4193
98	-	850245	846052	4193
99	+	942729	946923	4194
100	-	841189	836996	4193
101	-	796784	792591	4193
102	-	809310	805118	4192
103	+	1019945	1024134	4189
104	+	940602	944796	4194
105	-	794338	790146	4192
106	-	792496	788301	4195
107	-	595458	591265	4193
108	+	804921	809114	4193
109	+	1076563	1080756	4193
110	+	987013	991206	4193
111	+	993329	997522	4193
112	-	834000	829807	4193
113	-	815188	810996	4192
114	+	679601	683795	4194
115	-	773768	769574	4194
116	-	819070	814878	4192
117	-	814243	810050	4193
118	+	1013518	1017712	4194
119	-	263049	258857	4192
120	+	1017733	1021927	4194
121	+	976981	981175	4194
122	-	853437	849245	4192
123	+	965112	969306	4194
124	+	1041165	1045357	4192
125	+	973353	977547	4194
126	-	812403	808209	4194
127	-	833080	828887	4193
128	-	797116	792922	4194
129	+	1108718	1112911	4193
130	-	869616	865423	4193
131	+	1082087	1086279	4192
132	+	949582	953776	4194
133	+	1039723	1043915	4192
134	+	981609	985802	4193
135	+	1094229	1098421	4192
136	-	807295	803101	4194
137	+	1040208	1044400	4192
138	-	847006	842813	4193
139	-	815612	811420	4192
140	+	1784036	1788225	4189
141	-	821067	816878	4189
142	+	950616	954810	4194
143	-	862904	858710	4194
144	-	841939	837746	4193
145	+	940955	945149	4194
146	-	791925	787732	4193
147	+	981461	985654	4193
148	-	843852	839657	4195
149	-	798354	794160	4194
150	-	796376	792187	4189
151	+	1002593	1006786	4193
152	-	776936	772744	4192
153	+	930349	934542	4193
154	-	1798984	1794791	4193
155	-	776926	772734	4192
156	+	1100392	1104585	4193
157	-	766310	762116	4194
158	-	798148	793955	4193
159	+	945764	949957	4193
160	-	845520	841328	4192
161	-	835312	831120	4192
162	+	986149	990343	4194
163	-	858529	854335	4194
164	-	841326	837134	4192
165	-	767897	763703	4194
166	+	1038826	1043018	4192
167	+	1080845	1085037	4192
168	+	933425	937618	4193
169	+	981813	986006	4193
170	-	795953	791760	4193
171	-	820831	816642	4189
172	-	829454	825259	4195
173	-	845455	841261	4194
174	+	947880	952074	4194
175	-	814781	810592	4189
176	-	796569	792380	4189
177	-	786717	782523	4194
178	-	837909	833720	4189
179	+	1041070	1045262	4192
180	+	1008011	1012205	4194
181	-	777196	773002	4194
182	+	1083719	1087911	4192
183	+	1007778	1011967	4189
184	-	853752	849560	4192
185	-	803681	799488	4193
186	+	1081258	1085450	4192
187	-	794328	790134	4194
188	+	1035062	1039254	4192
189	-	815953	811760	4193
190	+	1040247	1044439	4192
191	+	1010091	1014285	4194
192	-	794338	790146	4192
193	-	845440	841248	4192
194	-	790833	786644	4189
195	+	806673	810867	4194
196	+	1052153	1056345	4192
197	-	821041	816852	4189
198	+	1082304	1086496	4192
199	-	829015	824821	4194
200	+	976157	980351	4194
201	-	923562	919369	4193
202	-	830588	826395	4193
203	-	923537	919344	4193
204	-	776936	772744	4192
205	+	1058647	1062839	4192
206	-	787675	783481	4194
207	-	923544	919351	4193
208	-	834041	829848	4193
209	-	889215	885024	4191
210	-	794744	790552	4192
211	+	1040989	1045178	4189
212	+	790319	794513	4194
213	+	981970	986164	4194
214	-	845481	841287	4194
215	+	1041097	1045286	4189
216	+	1039729	1043921	4192
217	-	798604	794410	4194
218	-	874834	870645	4189
219	-	903773	899580	4193
--------------------------------------------------------------------------------
Block #77
Seq_id	Strand	Start	End	Length
1	+	1028731	1032849	4118
2	+	1029837	1033955	4118
3	+	1020575	1024693	4118
4	-	886151	882033	4118
5	-	860690	856583	4107
6	+	1029578	1033696	4118
8	-	831654	827536	4118
11	+	1029894	1034012	4118
12	-	885348	881230	4118
14	+	1085675	1089793	4118
15	-	830533	826426	4107
16	-	871763	867644	4119
18	-	830166	826054	4112
19	+	933930	938048	4118
20	-	802777	798669	4108
21	+	959544	963662	4118
22	-	842419	838301	4118
24	+	1029629	1033747	4118
25	-	887293	883177	4116
26	+	927031	931149	4118
27	+	941380	945492	4112
28	-	804388	800270	4118
31	-	918770	914652	4118
33	+	1759781	1763899	4118
34	-	826193	822086	4107
37	-	885999	881881	4118
38	+	1023381	1027489	4108
39	-	876955	872843	4112
41	-	29880	25773	4107
43	+	1064265	1068381	4116
44	+	1114769	1118887	4118
47	-	802853	798741	4112
50	+	1002009	1007321	5312
52	+	1028930	1033048	4118
53	-	913865	909747	4118
54	-	807451	803344	4107
55	+	1031017	1035135	4118
57	+	960915	965033	4118
58	+	1029669	1033787	4118
59	+	1107162	1111264	4102
60	+	1162092	1166199	4107
61	-	817690	813578	4112
62	-	804278	800160	4118
64	-	804585	800467	4118
65	-	836726	832618	4108
66	-	817343	813231	4112
67	-	817452	813340	4112
68	-	822845	818733	4112
70	-	825456	821349	4107
72	-	907982	903864	4118
73	-	824637	820530	4107
74	+	982005	986124	4119
75	-	853593	849475	4118
77	-	1356781	1352674	4107
78	-	896043	891941	4102
79	-	859945	855827	4118
80	+	1017071	1021184	4113
81	+	980154	984261	4107
82	+	1070886	1075004	4118
83	-	889016	884909	4107
86	-	839764	835646	4118
87	-	838912	834805	4107
88	-	799214	795098	4116
90	-	878984	874881	4103
91	-	796954	792841	4113
92	+	1037710	1041828	4118
93	-	863364	859246	4118
96	+	1031308	1035426	4118
97	-	929870	925752	4118
98	-	860026	855908	4118
100	-	850950	846832	4118
102	-	819090	814972	4118
103	+	1010204	1014311	4107
104	+	930864	934982	4118
105	-	804050	799932	4118
110	+	977234	981352	4118
111	+	983590	987708	4118
112	-	843714	839596	4118
113	-	824968	820850	4118
115	-	783526	779414	4112
116	-	828827	824715	4112
118	+	1003761	1007873	4112
121	+	967243	971361	4118
122	-	863217	859099	4118
124	+	1031453	1035571	4118
126	-	822161	818049	4112
128	-	807982	803864	4118
129	+	1098937	1103055	4118
130	-	879397	875279	4118
131	+	1072375	1076493	4118
133	+	1030011	1034129	4118
134	+	971828	975946	4118
135	+	1084517	1088635	4118
136	-	817053	812941	4112
137	+	1030496	1034614	4118
140	+	1774296	1778403	4107
141	-	830807	826700	4107
142	+	940860	944973	4113
143	-	872681	868568	4113
144	-	851700	847582	4118
145	+	931217	935335	4118
147	+	971680	975798	4118
150	-	806116	802009	4107
153	+	920635	924753	4118
156	+	1090678	1094796	4118
159	+	936015	940118	4103
161	-	845024	840906	4118
162	+	976405	980513	4108
163	-	868287	864175	4112
166	+	1029114	1033232	4118
167	+	1071133	1075251	4118
169	+	972032	976150	4118
171	-	830571	826464	4107
174	+	938124	942237	4113
175	-	824521	820414	4107
176	-	806309	802202	4107
178	-	847649	843542	4107
179	+	1031358	1035476	4118
180	+	998246	1002355	4109
181	-	786974	782858	4116
182	+	1074007	1078125	4118
183	+	998038	1002145	4107
